Ethical & professional|B|A wrong-site procedure is narrowly prevented before incision. What is the nurse's next professional obligation?|Report and document the event under the organization's process|Erase the schedule error because no injury occurred|Tell only the patient after discharge|Wait until the next month to review it|The blueprint includes recognizing and reporting situations requiring disclosure.
Ethical & professional|B|A patient has a specific spiritual practice relevant to their perioperative care. Which response is most appropriate?|Ask about and accommodate the practice where safe and feasible|Assume every member of that community wants the same accommodation|Dismiss it because surgical workflow takes priority|Ask family to speak for a capable patient|Care should respond to individual beliefs without stereotypes.
Ethical & professional|B|A team disagreement is escalating beside an awake patient. What should the nurse prioritize?|De-escalate and move conflict away from the patient|Continue the argument until one side yields|Record the interaction instead of intervening|Ask the patient to choose a side|Conflict resolution includes de-escalation and separating parties.
Ethical & professional|B|A research specimen is requested during surgery. What must be checked in addition to routine specimen handling?|The applicable research consent and approved protocol|Only whether the container is large enough|Whether the surgeon prefers fresh tissue|Whether a visitor can take it to the laboratory|Research participation must follow consent and ethics-approved protocols.
Ethical & professional|B|Which activity is a quality-improvement example named in the CNA blueprint?|Reviewing surgical site infection prevention performance|Changing a patient's consent without discussion|Delegating all counts to a vendor|Disabling incident reporting to reduce paperwork|CNA cites SSI prevention, wound classification and checklist use as quality-improvement areas.
Ethical & professional|B|What is the best educational approach when a patient asks about immediate postoperative expectations?|Give individualized teaching appropriate to the phase of care|Promise there will be no pain|Defer every question until discharge|Provide the same script regardless of procedure|The blueprint includes education before, during and immediately after surgery.
Ethical & professional|B|A competent patient requests privacy while being positioned. What should the team do?|Limit exposure and protect dignity throughout positioning|Assume anesthesia removes privacy concerns|Allow unnecessary observers|Discuss the patient in a public hallway|Privacy and dignity remain nursing responsibilities throughout the perioperative period.
Ethical & professional|B|A vendor offers to operate a surgical device on the patient. Which question is most important for the nurse?|Is that activity authorized within the individual's role and facility policy?|Has the vendor sold many devices?|Is the patient already anesthetized?|Would the task save several minutes?|Visitor permission and professional scope must both be respected.
Ethical & professional|B|Which issue should be included in a recovery handoff after a difficult positioning case?|Areas of skin concern and positioning related risks|Only the surgeon's preference card|Only the number of staff in the room|The manufacturer's marketing information|Relevant care findings must follow the patient through transition.
Ethical & professional|B|A staff member discovers their charting has an error. What is the safest action?|Correct it using the record's approved amendment process|Delete the entire chart|Ask another nurse to chart in their name|Leave it unchanged because the case is finished|Accurate contemporaneous documentation includes transparent correction.
Safety|W|At which point does the WHO checklist's Sign In occur?|Before induction of anesthesia|Immediately before skin incision|After wound closure|After discharge from recovery|The WHO checklist separates Sign In, Time Out and Sign Out by phase.
Safety|W|What is confirmed with the patient during Sign In?|Identity, site, procedure and consent|Only the surgeon's name|Only the planned discharge time|Only the instrument count|The WHO Sign In asks for patient confirmation of identity, site, procedure and consent.
Safety|W|What equipment check belongs to Sign In?|Anesthesia machine and medication check|Final specimen dispatch|Postoperative bed assignment|Completed needle count|The anesthesia equipment and medication check is a Sign In item.
Safety|W|What monitoring item is checked before induction on the WHO checklist?|Pulse oximeter attached and functioning|Postoperative telemetry order|Discharge oxygen prescription|Recovery room bed alarm|Sign In asks whether pulse oximetry is on the patient and working.
Safety|W|The WHO checklist flags anticipated major blood loss in an adult above what amount?|500 mL|50 mL|100 mL|2,000 mL|The WHO Sign In threshold is more than 500 mL for adults.
Safety|W|For a child, the WHO checklist flags expected blood loss above what threshold?|7 mL/kg|1 mL/kg|20 mL/kg|50 mL/kg|The pediatric Sign In threshold is more than 7 mL/kg.
Safety|W|When the checklist identifies a difficult airway or aspiration risk, what should also be confirmed?|Equipment and assistance are available|The case is automatically cancelled|The surgical count is complete|The specimen is in formalin|WHO pairs the risk with a plan for equipment and help.
Safety|W|When is the WHO Time Out performed?|Before skin incision|Before the patient enters hospital|Immediately after specimen fixation|After the patient leaves the OR|Time Out precedes incision.
Safety|W|Who participates in the WHO Time Out?|Nurse, anesthetist and surgeon|Only the circulating nurse|Only the surgeon and patient|Only recovery staff|The checklist calls for the operative team to confirm together.
Safety|W|Which identification is spoken during Time Out?|Patient name, procedure and incision site|The patient's room number only|The implant purchase order only|The planned discharge date|The team verbally confirms patient, procedure and site.
Safety|W|What is the WHO prophylactic antibiotic prompt at Time Out?|Was it given within the preceding 60 minutes, if applicable?|Was it prescribed for 30 days after discharge?|Was it given only after closure?|Was it omitted for every case?|The WHO checklist asks whether prophylaxis was given in the preceding 60 minutes.
Safety|W|Which surgeon concern is explicitly discussed at Time Out?|Critical or nonroutine steps, case length and expected blood loss|Only the planned incision length|Only the next day's schedule|Only the name of the instrument vendor|Anticipated critical events are shared before incision.
Safety|W|Which nursing concern is explicitly discussed at Time Out?|Sterility including indicator results and equipment issues|Only the lunch break schedule|Only the room's paint colour|Only the patient's address|The checklist prompts nursing review of sterility and equipment concerns.
Safety|W|When is essential imaging confirmed to be displayed?|At Time Out before incision, when applicable|Only at discharge|Only after the first count|Only when the patient requests it|Essential imaging is a preincision checklist prompt.
Safety|W|At what point is WHO Sign Out completed?|Before the patient leaves the operating room|At preadmission clinic|Before induction|After the first postoperative visit|Sign Out precedes departure from the OR.
Safety|W|Which count result is verbally confirmed at Sign Out?|Instrument, sponge and needle counts|Only linen inventory|Only medication stock|Only the number of staff present|The WHO Sign Out requires verbal confirmation of these counts.
Safety|W|Which specimen action is part of Sign Out?|Read specimen labels aloud, including patient name|Label specimens the next day|Leave labelling to the receiving unit alone|Use only the room number|WHO calls for verbal specimen label confirmation.
Safety|W|Who discusses key recovery concerns at Sign Out?|Surgeon, anesthetist and nurse|Only the scheduler|Only the patient transport team|Only the device representative|The three disciplines share recovery and management concerns.
Safety|B|A sponge count is discrepant before closure. What is the safest immediate course?|Recount, notify the surgeon and follow the discrepancy process|Assume the previous count was correct|Close and search the room later|Change the recorded count to match the expected count|CNA lists recount, surgeon notification, imaging and documentation in discrepancy response.
Safety|B|A scrub nurse is permanently relieved midcase. What count-related step is expected?|Perform a count at handover with appropriate personnel|Rely on the morning's initial count|Count only at the end of the shift|Avoid count documentation because the case is ongoing|CNA specifies counts when scrub or circulating nurses are permanently relieved.
Safety|B|Which phase is specifically identified for a surgical count?|Before closure of a cavity or incision|Only after discharge|Only before patient arrival|Only after specimen receipt|CNA lists initial, before closure and procedure completion counts.
Safety|B|An emergency case starts without a count. What should occur?|Notify the surgeon and follow imaging and documentation processes|Record a normal count by default|Discard all sponges after closure|Do nothing because emergencies are exempt|The blueprint explicitly includes response when a count could not be performed.
Safety|B|Why should small sponges be loaded on instruments when indicated?|To support controlled handling and retrieval|To make them absorb less blood|To replace the count|To sterilize them during use|CNA names safe small-sponge handling as a count competency.
Safety|B|Which positioning factor should be assessed preoperatively?|Existing immobility and comorbidities|Only the surgeon's height|Only the room number|Only the patient's preferred music|Preoperative risks feed the individualized positioning plan.
Safety|B|Which intraoperative factor raises pressure injury risk?|Length of procedure and positioning devices|The day of the week|The colour of the drapes|The name of the instrument set|The blueprint includes duration, position and devices in intraoperative skin risk.
Safety|B|Who collaborates on the final patient position before surgery begins?|Nurse, surgeon and anesthesia care provider|Only the scheduler|Only the instrument vendor|Only the recovery unit clerk|CNA specifies collaboration on final positioning.
Safety|B|A patient will be placed in lithotomy. What should guide device selection?|Patient assessment, anatomy, procedure and pressure risk|Convenience alone|The previous patient's setup|Only the room turnover target|Positioning devices must suit patient and procedure.
Safety|B|Before moving an anesthetized patient from the OR table, what should be assessed?|Physiological status, skin and safe transfer requirements|Only whether the next case is ready|Only the surgeon's departure time|Only the transporter's route|CNA calls for system assessment and safe transfer.
Safety|B|Which electrosurgery practice is specifically included in CNA's safety competencies?|Assess dispersive electrode site, adhesion and size|Place the pad over any metal implant by default|Ignore device alarms|Leave the active electrode on drapes|The blueprint names pad placement, adhesion, size and alarm response.
Safety|B|What should be checked before using monopolar electrosurgery on a patient with an implanted pacemaker?|Compatibility and an appropriate device plan with the team|Only the battery brand|Whether the drapes are blue|Whether a bipolar instrument is in another room|Implantable electronic devices need specific electrosurgical consideration.
Safety|B|What is a safe place for an inactive electrosurgical pencil?|Its designated insulated holster|On the drape under a towel|Against a metal retractor|On the patient's skin|CNA lists active electrode isolation as a safety principle.
Safety|B|Why verify alcohol-based skin preparation dry time before electrosurgery?|To reduce ignition and fire risk|To increase the volume of prep solution|To make the count unnecessary|To eliminate the need for oxygen monitoring|Flammable prep and ignition sources are a fire concern.
Safety|B|What is a relevant safety control for surgical plume?|Use appropriate evacuation and PPE|Increase room background noise|Rely on surgical masks alone in every case|Disable local suction to reduce turbulence|CNA specifically includes plume evacuation and PPE.
Safety|B|Which hazard class best fits bone cement vapour exposure?|Chemical|Psychological only|Radiation only|Electrical only|The blueprint lists bone cement among chemical hazards.
Safety|B|Which hazard class best fits workplace harassment?|Psychological|Thermal only|Biological only|Mechanical only|CNA identifies workplace violence and harassment as psychological hazards.
Safety|B|What does WHMIS chiefly support in the OR?|Hazard communication for substances used at work|Patient identification before anesthesia|Sterile instrument counting|Specimen fixation choice|WHMIS is a workplace hazardous materials system named in safety competencies.
Safety|B|When a pneumatic tourniquet is used, what should the team monitor?|Pressure and duration according to the plan|Only the colour of the cuff|Only the room temperature|Only the number of instruments opened|CNA names limb occlusion pressure and duration.
Safety|B|What is the safest response to an unanticipated laser case without eye protection ready?|Pause until the controlled-area precautions and correct protection are in place|Proceed because general eyewear is equivalent|Ask observers to close their eyes|Use the laser at lower power without precautions|Laser eye safety and controlled area are explicit hazards.
Safety|B|Which compressed gas related issue merits a safety check?|Secure and use the cylinder according to facility procedure|Treat cylinders as ordinary furniture|Ignore connections if the tank is full|Use any regulator that fits loosely|Compressed gas is included among equipment safety competencies.
Safety|B|A laparoscopic case may convert to open surgery. What should the circulating nurse anticipate?|Additional instruments and supplies for the changed approach|No change to the plan|Immediate specimen disposal|Cancellation of all counts|The blueprint names conversion to open as an intraoperative event requiring adaptation.
Safety|B|A surgical specimen is removed. Which chain of actions best supports safety?|Verify identity, label, document and send to the right destination|Label it only after transport|Use the incision site instead of patient identifiers|Let it leave the room without a handoff|CNA identifies verification, labelling, documentation and delivery.
Safety|B|A specimen must remain fresh for a specific test. What should the nurse do?|Confirm preservation instructions before placing it in fixative|Put every specimen in formalin|Freeze every specimen|Discard it after the count|Fresh versus fixed preservation is an explicit specimen competency.
Safety|B|Which medication practice is part of the perioperative safety domain?|Verify, label, administer and document medications appropriately|Leave unlabeled syringes on the field|Assume every clear solution is saline|Chart drugs before they are given|The blueprint includes preparation, verification, labelling, delivery and documentation.
Safety|F|Which three elements form the surgical fire triangle?|Oxidizer, ignition source and fuel|Water, carbon dioxide and nitrogen|Sterile drape, glove and gown|Temperature, pressure and humidity|OR fire prevention manages all three parts of the fire triangle.
Safety|F|Which item can be a fuel during an operating room fire?|Alcohol-based prep|Pulse oximeter reading|Patient consent form in the chart|Room temperature display|Alcohol preparations and drapes are examples of fuel.
Safety|F|Which item is a potential ignition source near oxygen-enriched drapes?|Electrosurgical pencil|Saline bag|Nonpowered forceps|Paper checklist|Electrosurgery can ignite nearby fuel in an oxygen-enriched environment.
Safety|F|During a high-risk head and neck case, what should the team discuss before incision?|How to reduce the combined oxygen, ignition and fuel risk|Only the case's billing code|Only the expected discharge diet|Only the instrument tray count|A fire risk briefing coordinates control of the fire triangle.
Infection prevention|D|A reusable surgical instrument enters sterile tissue. How is it classified?|Critical|Semicritical|Noncritical|Environmental only|Critical items enter tissue or the vascular system and require sterilization.
Infection prevention|D|A device contacts a mucous membrane but does not enter sterile tissue. What is the minimum broad processing category?|High-level disinfection for a semicritical item|Low-level cleaning only|No processing if visibly clean|Sterilization of the room air only|Semicritical items require at least high-level disinfection, subject to device instructions.
Infection prevention|D|A blood pressure cuff contacts intact skin. Which Spaulding class best fits?|Noncritical|Critical|Implantable|Semicritical because it has a cuff|Noncritical items contact intact skin.
Infection prevention|D|Which processing method is generally preferred for a heat-stable critical instrument?|Steam sterilization according to the manufacturer's instructions|Wiping with alcohol only|Low-level disinfection|Rinsing in tap water|Critical devices require sterilization; steam is appropriate when compatible.
Infection prevention|D|What must determine a device's sterilization cycle selection?|Manufacturer instructions and validated process|The shortest cycle available|The oldest tray's label|The colour of the wrap|Cycle parameters and compatibility are device and process specific.
Infection prevention|B|A sterile package is found wet after processing. What is the safe response?|Treat it as compromised and arrange reprocessing|Place it directly on the field|Dry it with a towel and use it|Use it if the external tape changed colour|Package integrity and verified processing matter for an aseptic field.
Infection prevention|B|A chemical indicator has not reached its expected endpoint. What should happen?|Do not use the item; investigate processing|Use it because the wrapper is intact|Add a second indicator after opening|Soak it in antiseptic and proceed|CNA includes chemical quality controls; an unsatisfactory result cannot be ignored.
Infection prevention|D|What does an external chemical process indicator chiefly show?|Exposure to a process, not proof of sterility|That every organism was killed|That the inside of a complex tray is sterile|That cleaning was completed correctly|A colour change alone does not establish sterility.
Infection prevention|D|Which monitoring combination is used to evaluate sterilization?|Mechanical, chemical and biological indicators|Room lighting, noise and case time|Only visual inspection of the wrapper|Only an instrument count|CDC recommends routine mechanical, chemical and biological monitoring.
Infection prevention|D|For a load with implantable devices, what extra monitoring and release practice is recommended when possible?|Use a biological indicator and quarantine until negative|Release immediately after external tape changes|Skip monitoring if the case is urgent|Use a patient pulse oximeter as the indicator|CDC recommends a biological indicator for implant loads and quarantine when possible.
Infection prevention|B|An instrument falls below the sterile field. What should the team do?|Remove it from use and replace it with a verified sterile item|Return it to the tray if no one saw it|Rinse it with sterile saline and reuse it|Cover it with a drape|CNA requires recognizing and correcting breaks in asepsis.
Infection prevention|B|A scrubbed team member's gown is visibly contaminated. What is the appropriate response?|Correct the contamination, including regowning as needed|Proceed until the case ends|Spray the gown with alcohol|Avoid mentioning it to the team|Compromised surgical attire requires corrective action.
Infection prevention|B|What practice maintains the sterile field during a procedure?|Continuous observation and prompt correction of breaks|Checking it only before incision|Assuming every item placed on it is sterile|Delegating sterility to the patient|CNA describes continuous surveillance of the sterile field.
Infection prevention|H|Before surgical hand antisepsis, what jewellery should be removed?|Rings, watches and bracelets|Only necklaces|Only earrings|No jewellery needs removal|CDC's surgical hand antisepsis steps begin with removal of hand and wrist jewellery.
Infection prevention|H|What should be done to subungual debris before the surgical hand scrub?|Remove it with a nail cleaner under running water|Cover it with sterile gloves|Ignore it if the nails are short|Use alcohol only on the glove exterior|CDC identifies cleaning under the nails before antisepsis.
Infection prevention|H|With antimicrobial soap, whose scrub duration should be followed?|The product manufacturer's instructions|A fixed ten minutes for every product|Whatever the previous person used|No timing guidance|CDC says follow the manufacturer, often 2 to 6 minutes.
Infection prevention|H|When using an alcohol-based surgical hand rub with persistent activity, when are sterile gloves donned?|After the hands and forearms are fully dry|While the product is still wet|Before the product is applied|Immediately after rinsing with tap water|CDC advises allowing the product to dry before sterile gloves.
Infection prevention|H|Why is surgical hand antisepsis performed despite use of sterile gloves?|Gloves may tear or puncture during surgery|Gloves contain no barrier material|It replaces instrument sterilization|It makes sterile gowns unnecessary|Reducing hand flora limits contamination if a glove is compromised.
Infection prevention|H|When moving from a soiled site to a clean site on the same patient, what should happen?|Change gloves and perform hand hygiene as indicated|Keep the same gloves to save time|Wipe gloves on the drape|Use a second pair over the soiled gloves|CDC lists site transition as an indication to change gloves and clean hands.
Infection prevention|I|If hair removal is needed at an incision site, what method is preferred?|Clip rather than shave|Dry shave with a blade|Depilate every patient routinely|Remove hair a week in advance with a razor|WHO recommends avoiding hair removal or clipping when necessary.
Infection prevention|I|Why can razor shaving increase surgical site infection risk?|It causes microscopic skin injury|It sterilizes the site too early|It prevents antiseptic from drying|It changes the wound classification|Microscopic cuts from shaving can promote infection.
Infection prevention|I|What is the broad reason for maintaining normothermia during surgery?|Reduced hypothermia supports tissue perfusion and healing|It replaces antibiotic prophylaxis|It guarantees no infection|It removes the need for skin prep|WHO describes hypothermia reducing blood flow and slowing healing.
Infection prevention|I|For prophylaxis alone, what is the WHO position on extending antibiotics after surgery?|Routine postoperative continuation does not prevent SSI and may promote resistance|Continue indefinitely for every operation|Start only after closure|Use antibiotics instead of asepsis|WHO distinguishes prophylaxis before/during surgery from treatment of established infection.
Infection prevention|B|A patient has an airborne infection concern. What should planning include?|Additional airborne precautions and suitable traffic/environment measures|Routine practices alone without assessment|Leaving OR doors open|Removing all masks after induction|The CNA blueprint includes routine practices plus airborne precautions.
Infection prevention|B|Which transmission category is listed for influenza in the CNA blueprint?|Droplet|Prion|Radiation|Chemical|Influenza appears as a droplet precaution example.
Infection prevention|B|Which transmission category is listed for multidrug-resistant organisms in the blueprint?|Contact|Radiation|Laser|Thermal|The blueprint gives MDROs as a contact precaution example.
Infection prevention|B|Renovation near operating rooms may heighten which infection concern?|Dust and environmental fungal exposure|Only loud music|Only carbon dioxide exposure|Only patient hypoglycemia|CNA identifies construction dust and Aspergillus as concerns.
Infection prevention|B|Which set of measures is explicitly named for SSI reduction?|Clipping, normothermia, glycemic control and antibiotic prophylaxis|Razor shaving, hypothermia and prolonged prophylaxis|Only a sterile drape|Only wound irrigation after closure|These measures appear in CNA's SSI prevention competency.
Infection prevention|B|How should a contaminated instrument be sent to reprocessing?|With safe containment and transport per procedure|Uncovered on a clean supply cart|In a sterile tray for immediate reuse|Handed directly to the next scrub person|The blueprint includes safe handling and transportation of contaminated instruments.
Infection prevention|B|When should immediate-use steam sterilization be considered?|An emergent need under a validated, documented process|As the routine way to make up for insufficient inventory|Whenever the room is behind schedule|As a substitute for cleaning|CNA limits IUSS to appropriate emergent conditions and process controls.
Infection prevention|B|What should be reviewed when a sterilizer quality-control result is abnormal?|Process parameters, indicators and affected load disposition|Only the OR schedule|Only the colour of scrub clothing|Only the previous patient's diagnosis|Quality controls are part of establishing the aseptic environment.
Infection prevention|B|Which environmental factors can affect sterility in the OR?|Temperature, humidity and air exchange|Only window tint|Only parking capacity|Only the surgeon's preference card|The blueprint names these environmental factors.
Infection prevention|B|What should a team do if a sterile item touches a nonsterile surface during setup?|Remove or replace the contaminated item|Continue if contact was brief|Cover the contact point with tape|Use it after rubbing with dry gauze|CNA requires corrective action after an aseptic break.
Infection prevention|B|Why verify the procedure's wound classification?|It supports accurate documentation and infection prevention surveillance|It replaces postoperative assessment|It determines the patient's identity|It authorizes a visitor|CNA includes assessment and verification of wound classification.
Infection prevention|H|A glove tears during an invasive procedure. What should be done?|Replace it promptly and perform hand hygiene as indicated|Continue if no bleeding is visible|Cover the tear with tape|Rinse the glove and continue|Damaged gloves should be changed to restore barrier protection.
Infection prevention|I|What is the purpose of preoperative bathing or showering in WHO SSI guidance?|Reduce microbial burden before surgery|Replace intraoperative skin antisepsis|Guarantee sterility of the skin|Remove the need for gloves|WHO includes patient bathing among SSI prevention measures.
Perioperative phases & anesthesia|B|Which patient identifiers should be checked preoperatively?|Two unique identifiers|Only the bed number|Only the procedure time|Only the surgeon's name|CNA lists two unique patient identifiers in preoperative assessment.
Perioperative phases & anesthesia|B|A patient reports a new medication allergy in the holding area. What should happen?|Communicate it and update the plan before exposure|Wait for recovery to document it|Assume the chart is more reliable|Tell only the porter|Allergies and abnormal findings must inform the team before anesthesia and surgery.
Perioperative phases & anesthesia|B|The consent form names a different side from the schedule. What is the safest next step?|Stop progression and resolve the discrepancy with the team and patient as appropriate|Choose the side on the schedule|Ask the scrub nurse to guess|Proceed and correct the chart later|Consent and surgical site verification are preoperative checks.
Perioperative phases & anesthesia|B|Which item belongs in a preoperative assessment?|Fasting status|The next case's implant choice|The visitor parking receipt|The room's paint colour|Fasting is one of CNA's preoperative verification elements.
Perioperative phases & anesthesia|B|A patient has an implantable cardioverter-defibrillator. What should the nurse do?|Communicate its presence for anesthesia and energy-device planning|Ignore it because it is internal|Remove it in the holding area|Assume it is compatible with all electrosurgery|Implantable electronic devices are part of preoperative review.
Perioperative phases & anesthesia|B|A patient reports herbal supplement use. Why is it relevant?|It may affect the perioperative plan and should be communicated|It never matters if prescribed drugs are listed|It replaces the allergy review|It determines wound classification alone|CNA includes medications and herbal supplements in physiologic assessment.
Perioperative phases & anesthesia|B|Which preoperative issue can affect airway management?|Dental work or prostheses|Room inventory count|Specimen destination|The colour of the positioning pad|Dental work and prostheses are specifically assessed before anesthesia.
Perioperative phases & anesthesia|B|A patient has limited neck movement. What should be communicated?|Anatomical limitation relevant to positioning and airway planning|Only the patient's preference for music|Only the surgeon's start time|Only the next case's schedule|Anatomical limitations inform the individualized plan.
Perioperative phases & anesthesia|B|A patient is anxious before induction. What environmental action supports anesthesia care?|Reduce avoidable background noise|Increase music volume without asking|Discuss unrelated cases nearby|Delay all explanation until recovery|CNA lists a supportive, quieter environment during general anesthesia.
Perioperative phases & anesthesia|B|What does pulse oximetry measure noninvasively?|Peripheral oxygen saturation|Direct arterial carbon dioxide tension|Blood glucose|Intracranial pressure|The blueprint includes pulse oximetry among monitoring devices.
Perioperative phases & anesthesia|B|Which monitoring method directly displays cardiac electrical activity?|ECG|Pulse oximetry|Urine output|Surgical count sheet|ECG is a noninvasive monitoring example in the blueprint.
Perioperative phases & anesthesia|B|When an abnormal intraoperative monitor finding appears, what should the nurse do?|Communicate promptly with anesthesia and the team while responding within role|Silence the alarm and continue setup|Wait until Sign Out|Document without telling anyone|The nurse maintains awareness of monitoring and communicates findings.
Perioperative phases & anesthesia|B|A planned regional anesthetic changes to general anesthesia. What is the nursing response?|Adapt the plan and prepare equipment and support for the new approach|Continue the original plan unchanged|Cancel all monitoring|Leave the room until induction ends|CNA calls for understanding anesthesia plans and adapting care.
Perioperative phases & anesthesia|B|Which patient group requires anesthesia considerations specifically named in the blueprint?|Bariatric patient|Only adult patients with no comorbidities|Only patients having local anesthesia|Only patients in outpatient rooms|The blueprint names pediatric, bariatric, geriatric and obstetric considerations.
Perioperative phases & anesthesia|B|What should be assessed intraoperatively as the case progresses?|Blood loss, temperature, skin and intake/output as relevant|Only the start time|Only the surgeon's glove size|Only the specimen container brand|CNA lists ongoing physiological and skin assessment.
Perioperative phases & anesthesia|B|The patient develops unexpected bronchospasm during anesthesia. What should the circulating nurse do?|Communicate and support the anesthesia team's urgent response|Wait for the final count before responding|Move the patient without coordination|Ignore it because only anesthesia monitors breathing|Bronchospasm is a named anesthesia complication requiring team response.
Perioperative phases & anesthesia|B|What is the safest priority when signs of anaphylaxis appear intraoperatively?|Alert the team and support immediate emergency treatment|Finish the instrument count first|Give an unverified medication independently|Wait until the patient reaches recovery|The blueprint lists anaphylaxis as an urgent event requiring response.
Perioperative phases & anesthesia|B|A minimally invasive procedure converts to open. What should be updated?|The nursing plan, supplies, counts and documentation as applicable|Only the schedule board|Only the room lighting|Nothing until the patient leaves|The care plan must adapt to a changed procedure.
Perioperative phases & anesthesia|B|Which assessment belongs at the end of a case before transfer?|Skin condition, temperature and pain status as applicable|Only operating room turnover time|Only vendor attendance|Only the surgeon's next case|CNA names postoperative physiological, skin, thermal and pain assessment.
Perioperative phases & anesthesia|B|A patient has a possible need for blood products. When should this be identified?|During preoperative planning and verification|Only after postoperative discharge|Only when a product arrives unrequested|Only during instrument cleaning|Blood and blood-product needs appear in preoperative assessment.
Exceptional clinical events|B|Which event is explicitly named among intraoperative urgent responses?|Hemorrhage from a lacerated artery|A routine instrument request|A planned dressing change|A scheduled lunch break|CNA lists hemorrhage among urgent or emergent events.
Exceptional clinical events|B|A sudden major hemorrhage occurs. What is the circulating nurse's priority?|Mobilize requested resources and communicate rapidly with the team|Continue routine room turnover|Leave to complete a nonurgent form|Assume the surgeon needs no help|Urgent hemorrhage requires coordinated response and resources.
Exceptional clinical events|B|Which embolic event type is listed in the blueprint?|Air embolus|Only gastric reflux|Only wound dehiscence|Only hypothermia|CNA lists air, blood and fat embolic events.
Exceptional clinical events|B|A possible local anesthetic toxicity event is recognized. What should happen?|Alert anesthesia and activate the emergency response and supplies|Wait to see whether the symptoms disappear|Give more local anesthetic|Document only at case completion|Toxicity is a named urgent event requiring adaptation and communication.
Exceptional clinical events|B|A seizure occurs intraoperatively. What is the nurse's best role?|Communicate, support patient safety and obtain emergency supplies|Restrain the patient alone without coordination|Turn off all monitoring|Continue elective setup without informing the team|CNA includes seizure among urgent events to recognize and respond to.
Exceptional clinical events|B|Which shock type is explicitly included in the blueprint?|Hypovolemic shock|Only electrical shock from equipment|Only vasovagal syncope|Only cardiogenic shock|CNA lists hypovolemic and septic shock as examples.
Exceptional clinical events|B|A patient's airway becomes compromised during surgery. What should the circulating nurse anticipate?|Immediate coordinated airway support and requested emergency equipment|Only a postoperative note|A routine instrument count|Delaying action until the surgeon completes suturing|Compromised airway is an urgent event in the blueprint.
Exceptional clinical events|B|Why should a circulating nurse know where emergency tracheostomy supplies are?|A compromised airway may require rapid access|It replaces routine anesthesia equipment checks|It is needed for every operation|It determines the wound classification|CNA cites emergency tracheostomy as an airway response example.
Exceptional clinical events|B|After a significant event, which action completes the nursing response?|Document the event and resulting changes in care|Delete monitor records|Avoid reporting because the patient stabilized|Wait for a family member to chart|The blueprint includes implementation and documentation after urgent events.
Exceptional clinical events|B|A patient with suspected latex allergy develops a rapid reaction after exposure. What should be communicated immediately?|The suspected exposure and clinical change to anesthesia and the team|Only the planned discharge time|Only the count status|Only the room's humidity|Allergy hazards and anaphylaxis require prompt team communication.
Exceptional clinical events|B|A bariatric patient has an emergency conversion from laparoscopy to open surgery. Which preparation is most useful?|Anticipate appropriate positioning, transfer support and open instruments|Assume standard equipment always fits|Cancel all risk assessment|Use the prior case's supplies without checking|The blueprint includes bariatric considerations and conversion to open.
